Alternatively ^rb+cnj+++=Alternatively,
observed ^vpsv++agls+xvbnx+=observed
on ^in++++=on
beads ^nns++++=beads
made ^vbd+++xvbn+=made
from ^in++++=from
antler ^jjr++++=antler,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
areas ^nns++++=areas
were ^vbd+bed+vrb++=were
devoid ^in++++=devoid
of ^in"++++=of
ocher ^jjr+atrb+++=ocher
residues ^nns++++=residues.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
ivory ^nn++++=ivory
beads ^nns++++=beads
from ^in++++=from
Hohle ^np+++??+=Hohle
Fels ^np+++??+=Fels
and ^cc++++=and
Vogelherd ^np+++??+=Vogelherd,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
ocher ^jjr+atrb+++=ocher
residues ^nns++++=residues
present ^vb++++=present
even ^rb++++=even
on ^in++++=on
beads ^nns++++=beads
with ^in++++=with
observed ^nn++++=observed
polishing ^vwbg+++xvbg+=polishing,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
heavily ^rb++++=heavily
worn ^xvbn+++xvbn+=worn
beads ^nns++++=beads
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
have ^vbi++++=have
retained ^vbd+++xvbn+=retained
lower ^jjr+atrb+++=lower
amounts ^nns++++=amounts
of ^in++++=of
the ^ati++++=the
ocher ^jjr+atrb+++=ocher
residues ^nns++++=residues.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
observations ^nns+nom+++=observations
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
either ^dtx++++=either
ivory ^nn++++=ivory
and ^cc++++=and
antler ^jjr+atrb+++=antler
mediums ^nns+++??+=mediums
preserve ^nn++++=preserve
residues ^nns++++=residues
differentially ^rb+cnj+++=differentially,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
ivory ^nn++++=ivory
beads ^nns++++=beads
were ^vbd+bed+vrb++=were
in ^in++++=in
contact ^in"++++=contact
with ^in"++++=with
ocher ^jjr++++=ocher-covered
- ^zz++++=EXTRAWORD
covered ^vwbn+++xvbn+=EXTRAWORD
supports ^vbz++++=supports,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
that ^dt+dem+++=that
hematite ^nn++++=hematite
was ^vbd+bedz+vrb++=was
reapplied ^jj+pred+++=reapplied
to ^in++++=to
the ^ati++++=the
beads ^nns++++=beads
after ^in++++=after
the ^ati++++=the
initial ^jj+atrb+++=initial
production ^nn+nom+++=production.
. ^zz++++=EXTRAWORD
